	filename	xmlid	au-name	title	au-birth	au-death	au-gender	au-ids	copytext-yr	firsted-yr	title-ids	sizeCat	canonicity	time-slot	numwords	language
21	POR0014_FauFon_Mindelo	POR0014	Fonseca, Faustino da	Os Bravos do Mindelo: Edição para o ELTeC	1871	1918	M	NA	NA	1906	NA	short	unspecified	T4	49151	pt-PT
22	POR0035_MauFig_Exilado	POR0035	Fonseca, Mauricia C. da	O Exilado: Edição para o ELTeC	NA	NA	F	NA	NA	1900	NA	short	low	T4	42511	pt-PT
23	POR0011_CamCB_Caveira	POR0011	Castelo Branco, Camilo	A Caveira da Mártir: Edição para o ELTeC	1825	1890	M	NA	NA	1876	NA	long	high	T2	117069	pt-PT
24	POR0059_AlmGar_Santana	POR0059	Almeida Garrett, João Baptista da Silva Leitão de	O Arco de Santana	1799	1854	M	NA	NA	1845-1850	NA	medium	high	T1	65871	pt-PT
25	POR0030_FelCas_Chave	POR0030	Castilho, António Feliciano de	A chave do enigma: Edição para o ELTeC	1800	1875	M	NA	NA	1861	NA	short	unspecified	T2	47982	pt-PT
26	POR0047_JosSMLea_Estouro	POR0047	Leal, José da Silva Mendes	Infaustas Aventuras de Mestre Marçal Estouro: Edição para o ELTeC	1818	1886	M	NA	NA	1862	NA	medium	low	T2	56765	pt-PT
27	POR0021_ConFic_Eleicao	POR0021	Francisco Manuel de Melo Breyner, Conde de Ficalho	Uma Eleição Perdida: Edição para o ELTeC	1837	1903	M	NA	NA	1888	NA	short	unspecified	T3	26429	pt-PT
28	POR0055_AlbPim_Anel	POR0055	Pimentel, Alberto	O Annel Mysterioso: Edição para o ELTeC	1849	1925	M	NA	NA	1904	NA	medium	low	T4	55076	pt-PT
29	POR0034_TomMel_Luiz	POR0034	Melo, Tomaz de	O Conde de S. Luiz: Edição para o ELTeC	1836	1905	M	NA	NA	1903	NA	medium	unspecified	T2	54838	pt-PT
30	POR0040_AJCL_Tripeiros	POR0040	Lousada, António José Coelho	Os tripeiros: Edição para o ELTeC	1828	1859	M	NA	NA	1857	NA	short	unspecified	T1	38173	pt-PT
31	POR0019_MarSC_Lucio	POR0019	Sá-Carneiro, Mário de	A Confissão de Lúcio: Edição para o ELTeC	1890	1916	M	NA	NA	1914	NA	short	high	T4	26954	pt-PT
32	POR0010_CamCB_Perdicao	POR0010	Castelo Branco, Camilo	Amor de Perdição: Edição para o ELTeC	1825	1890	M	NA	NA	1862	NA	medium	high	T2	51524	pt-PT
